,geometry,address
99,POINT (28.5670941 47.2879608),"Moldova, Moldova"
100,POINT (11.6899699 -0.8999695),"Gabon, Gabon"
101,POINT (-61.0840075 10.7466905),"Trinidad and Tobago, Trinidad and Tobago"
102,POINT (35.843409 33.8750629),"لبنان, لبنان"
103,POINT (7.4197576 43.7311424),"Monaco, Monaco"
104,POINT (47.7872508 40.3936294),"Azərbaycan, Azərbaycan"
105,POINT (-1.6880314 12.0753083),"Burkina Faso, Burkina Faso"
106,POINT (27.6971358 53.4250605),"Беларусь, Беларусь"
107,POINT (-1.0800271 8.0300284),"Ghana, Ghana"
108,POINT (151.832744331612 8.6062347),"Federated States of Micronesia, Micronesia"
109,POINT (122.7312101 12.7503486),"Philippines, Philippines"
110,POINT (38.4313975 1.4419683),"Kenya, Kenya"
111,POINT (0.0639692 51.5084776),"Cyprus, University Roads, E16 2RD, University Roads, London, England, United Kingdom"
112,POINT (32.2166578 1.5333554),"Uganda, Uganda"
113,POINT (103.8499736 46.8250388),"Монгол Улс, Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ"
114,POINT (19.9999619 41.000028),"Shqipëria, Shqipëria"
115,POINT (24.5928742 -23.1681782),"Botswana, Botswana"
116,POINT (-5.5679458 7.9897371),"Côte d'Ivoire, Côte d’Ivoire"
117,POINT (-64.7080574 17.789187),"United States Virgin Islands, United States"
118,POINT (34.9144977 -19.302233),"Mozambique, Moçambique"
119,POINT (17.3231107 -23.2335499),"Namibia, Namibia"
120,POINT (29.6667897 7.8699431),"South Sudan, South Sudan"
121,POINT (97.7453061 64.6863136),"Россия, Россия"
